Timestamp;Address;Args
1728295736.9749002;/coixi;(0.2729027271270752, 0.1540287286043167, -0.0625843033194542, 1.0)
1728295737.0799284;/coixi;(0.2799030542373657, 0.14705511927604675, -0.06958646327257156, 1.0)
1728295737.0826259;/coixi;(0.2799030542373657, 0.14705511927604675, -0.06958646327257156, 1.0)
1728295737.1783493;/coixi;(0.0, 0.0, 0.0, 2.0)
1728295737.7979918;/coixi;(0.08394002169370651, -0.03484872356057167, -0.020983457565307617, 1.0)
1728295737.9009483;/coixi;(0.09805149585008621, -0.006600996013730764, -0.09781410545110703, 1.0)
1728295737.9123662;/coixi;(0.11205220967531204, 0.0004146519349887967, -0.09777171909809113, 1.0)
1728295737.997634;/coixi;(0.13994100689888, -0.0555243119597435, -0.09094753861427307, 1.0)
1728295738.1098225;/coixi;(0.13304494321346283, -0.02040885016322136, -0.13279226422309875, 1.0)
1728295738.1108377;/coixi;(0.14704445004463196, -0.03423995524644852, -0.16780082881450653, 1.0)
1728295738.202943;/coixi;(0.1892004907131195, -0.033368002623319626, -0.3566044569015503, 1.0)
1728295738.2055001;/coixi;(0.19623592495918274, -0.033165186643600464, -0.39856287837028503, 1.0)
1728295738.3072724;/coixi;(0.20321021974086761, -0.03322570025920868, -0.3775724470615387, 1.0)
1728295738.3082724;/coixi;(0.20331279933452606, -0.005278329830616713, -0.37045884132385254, 1.0)
1728295738.4092343;/coixi;(0.21029040217399597, -0.005311570130288601, -0.3564610183238983, 1.0)
1728295738.5192754;/coixi;(0.22418588399887085, -0.026303891092538834, -0.3425472676753998, 1.0)
1728295738.5202763;/coixi;(0.2307811975479126, -0.13172978162765503, -0.22410918772220612, 1.0)
1728295738.615398;/coixi;(0.2935252785682678, -0.48252183198928833, 0.018933694809675217, 1.0)
1728295738.6164148;/coixi;(0.24622003734111786, -0.5686798691749573, 0.49430719017982483, 1.0)
1728295738.7165449;/coixi;(0.3903163969516754, -0.5716527104377747, -0.2756485641002655, 1.0)
1728295738.8268201;/coixi;(0.44280147552490234, -0.9680575728416443, -0.6072012186050415, 1.0)
1728295738.828825;/coixi;(0.5002180337905884, -1.7435134649276733, -0.6901467442512512, 1.0)
1728295738.9224105;/coixi;(0.5356014370918274, -3.36714768409729, -0.5842850208282471, 1.0)
1728295738.923403;/coixi;(0.5987451076507568, -9.363330841064453, -0.5777004361152649, 1.0)
1728295739.0251222;/coixi;(0.5849434733390808, -13.599507331848145, -0.08413884788751602, 1.0)
1728295739.026149;/coixi;(0.5770924091339111, -13.903124809265137, 0.02316807210445404, 1.0)
1728295739.1260045;/coixi;(0.5988550186157227, -14.557969093322754, 0.0010213253553956747, 1.0)
1728295739.236448;/coixi;(0.6225284934043884, -15.708198547363281, -0.025658361613750458, 1.0)
1728295739.238451;/coixi;(0.5875715017318726, -18.098342895507812, 0.14688868820667267, 1.0)
1728295739.33155;/coixi;(0.5247777104377747, -21.145156860351562, 0.5509447455406189, 1.0)
1728295739.3325536;/coixi;(0.47844988107681274, -22.3840389251709, 0.719315767288208, 1.0)
1728295739.432449;/coixi;(0.4545201063156128, -22.90500831604004, 0.646896481513977, 1.0)
1728295739.5367415;/coixi;(0.46604686975479126, -23.618181228637695, 0.589910089969635, 1.0)
1728295739.537739;/coixi;(0.47895410656929016, -23.954029083251953, 0.4854719042778015, 1.0)
1728295739.639783;/coixi;(0.48505353927612305, -23.704179763793945, 0.4144684970378876, 1.0)
1728295739.6407804;/coixi;(0.4826916754245758, -22.034746170043945, 0.4037828743457794, 1.0)
1728295739.7397988;/coixi;(0.4759215712547302, -19.156343460083008, 0.4214337468147278, 1.0)
1728295739.7408013;/coixi;(0.4794272780418396, -17.682249069213867, 0.425971120595932, 1.0)
